0,1,2,song_start,same_song
Drifting at 432 Hz - Unicorn Heads,"[ 0.05079535  0.06047145  0.06823933 ... -0.01104409 -0.00522072
  0.00169269]",164,148,148
Drifting at 432 Hz - Unicorn Heads,"[ 0.00822647  0.01260834  0.01832903 ... -0.0269323  -0.02525381
 -0.02193807]",165,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.00814397 -0.00304876  0.00337896 ... -0.10769668 -0.10222542
 -0.09506468]",166,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.05730522 -0.05337021 -0.0482734  ... -0.02602037 -0.02394944
 -0.02126873]",167,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.01537773 -0.0174759  -0.01918825 ... -0.07225037 -0.06984247
 -0.06537405]",168,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.02473017 -0.03260133 -0.0388651  ... -0.05126345 -0.05802319
 -0.06068056]",169,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.01046927 -0.01825653 -0.02273616 ...  0.06747415  0.05139514
  0.03253003]",170,148,148
Duh Fuse - French Fuse,"[ 2.1071851e-18 -1.6098423e-10 -3.3088771e-10 ... -1.5845819e-01
 -1.7820859e-01 -1.6276950e-01]",171,171,171
Dulce Reggaeton - An Jone,"[-1.0778908e-05  9.6358153e-06  9.0822277e-07 ...  4.2842582e-01
  4.1556433e-01  3.8163462e-01]",172,172,172
Dulce Reggaeton - An Jone,[0.05637168 0.06769483 0.06410361 ... 0.48645177 0.47217417 0.4414348 ],173,172,172
Dulce Reggaeton - An Jone,[0.2374998  0.25348812 0.2666362  ... 0.42388648 0.42025363 0.39847398],174,172,172
Dusty Rhymes - Freedom Trail Studio,"[-1.1652843e-05 -4.0905568e-05  6.1326231e-05 ... -1.0870442e-01
 -9.8683678e-02 -7.7693984e-02]",175,175,175
Dusty Rhymes - Freedom Trail Studio,"[-0.0594624  -0.06372995 -0.02832786 ...  0.5100218   0.6123949
  0.51444817]",176,175,175
Early Avril - Unicorn Heads,"[ 0.          0.          0.         ... -0.00214902  0.00018258
  0.00020889]",177,177,177
Early Avril - Unicorn Heads,"[ 0.00676756  0.0129109   0.01483499 ... -0.02890334 -0.03177356
 -0.02618568]",178,177,177
Early Avril - Unicorn Heads,"[-0.01574623 -0.01989113 -0.02099883 ... -0.02782032 -0.02656385
 -0.02102284]",179,177,177
Early Avril - Unicorn Heads,"[-0.01501459 -0.01684538 -0.01441177 ... -0.01491148 -0.00888821
 -0.00325714]",180,177,177
Early Avril - Unicorn Heads,"[-0.00449137  0.00172438  0.00892486 ... -0.04284097 -0.04383855
 -0.03856638]",181,177,177
Early Avril - Unicorn Heads,"[-0.05095123 -0.06836477 -0.08291098 ... -0.00251558 -0.01165351
 -0.02331588]",182,177,177
Early Avril - Unicorn Heads,"[ 0.05196818  0.05540368  0.05397938 ... -0.0892009  -0.07755402
 -0.06349047]",183,177,177
Early Avril - Unicorn Heads,"[-0.00963206 -0.01011916 -0.00788271 ... -0.05447708 -0.05186777
 -0.04655032]",184,177,177
Early Oceans - Freedom Trail Studio,"[ 1.25965573e-06 -3.92558431e-05  5.06100805e-05 ...  1.72216743e-01
  1.56858400e-01  1.22428924e-01]",185,185,185
Early Oceans - Freedom Trail Studio,"[ 0.00163854 -0.00589985 -0.01647752 ... -0.02214584 -0.03849681
 -0.03849338]",186,185,185
Earth Appears - Brian Bolger,[0.         0.         0.         ... 0.07097632 0.07845136 0.08071415],187,187,187
Earth Appears - Brian Bolger,"[-0.00111203  0.00935618  0.01507921 ... -0.18289578 -0.16588314
 -0.13279058]",188,187,187
El Secreto - Yung Logos,"[-9.3792705e-06 -5.0120033e-08 -7.4762356e-06 ... -1.7476578e-01
 -1.7452213e-01 -1.6753890e-01]",189,189,189
El Secreto - Yung Logos,"[-0.20368691 -0.23813096 -0.2730178  ...  0.2445073   0.2697633
  0.2239693 ]",190,189,189
El Secreto - Yung Logos,"[ 0.20952232  0.21533754  0.20702899 ... -0.46833813 -0.42367622
 -0.3743007 ]",191,189,189
Enough - NEFFEX,"[1.0552058e-05 6.8665060e-05 8.5317457e-05 ... 4.2807620e-02 3.2414671e-02
 1.2678074e-02]",192,192,192
Enough - NEFFEX,"[ 0.03339011  0.02185086 -0.02623543 ...  0.22877477  0.26922023
  0.25981042]",193,192,192
Erev Shel Shoshanim - E's Jammy Jams,"[ 0.          0.          0.         ... -0.00958278 -0.03904771
 -0.05395364]",194,194,194
Erev Shel Shoshanim - E's Jammy Jams,"[-0.05805404 -0.08020055 -0.09074016 ... -0.03468981 -0.03158671
 -0.02589624]",195,194,194
Erev Shel Shoshanim - E's Jammy Jams,"[-0.0729381  -0.08227445 -0.08792704 ...  0.06239731  0.05601015
  0.04547582]",196,194,194
Escapism - Yung Logos,"[ 0.00204981  0.00218716  0.00215725 ... -0.00960136  0.00147418
  0.00572094]",197,197,197
Escapism - Yung Logos,"[ 0.00365288  0.01472173  0.01893999 ... -0.32200825 -0.35765457
 -0.3201969 ]",198,197,197
Escapism - Yung Logos,"[-0.23416892 -0.31161422 -0.34264466 ... -0.03099755 -0.03786422
 -0.03408595]",199,197,197
Escapism - Yung Logos,"[-0.02462955 -0.03257363 -0.02908133 ... -0.18568635 -0.20410386
 -0.1815976 ]",200,197,197
Everything Has a Beginning - Joel Cummins,"[-1.0012003e-05  2.0586087e-06  1.1002339e-05 ...  1.4692647e-03
  1.2222283e-02  1.7473590e-02]",201,201,201
Fat Man - Yung Logos,[0.00309847 0.0031548  0.0032759  ... 0.05897703 0.04094305 0.03640195],202,202,202
Fingerprint - Mini Vandals,[0.00265179 0.00337438 0.00231575 ... 0.08868946 0.06913135 0.05721135],203,203,203
Fingerprint - Mini Vandals,"[ 0.05931793  0.0612028   0.06383847 ... -0.15059426 -0.16700907
 -0.15775372]",204,203,203
First Dream - Brian Bolger,"[-3.1457277e-04 -4.0652888e-04 -3.8460962e-04 ... -2.4657487e-03
  1.2850724e-03  7.6495235e-05]",205,205,205
First Dream - Brian Bolger,[0.08443855 0.10002619 0.11153204 ... 0.04623255 0.04889964 0.04698498],206,205,205
First Of 3 - Jeremy Black,"[ 0.          0.          0.         ... -0.04499691 -0.04156597
 -0.03787899]",207,207,207
First Of 3 - Jeremy Black,"[-0.10580651 -0.11062201 -0.1044608  ...  0.1435116   0.15859762
  0.14188956]",208,207,207
First Of 3 - Jeremy Black,"[ 0.10230285  0.11598079  0.11397224 ... -0.04780107 -0.07091299
 -0.07674035]",209,207,207
Floating Home - Brian Bolger,"[ 0.          0.          0.         ... -0.0895537  -0.09261864
 -0.08757647]",210,210,210
Floating Home - Brian Bolger,[0.01458234 0.01600344 0.02571347 ... 0.04699393 0.03103104 0.01845121],211,210,210
Foyf (Instrumental) - NEFFEX,"[-0.00035062 -0.00032554 -0.00033903 ... -0.22699352 -0.22857402
 -0.22252634]",212,212,212
Foyf (Instrumental) - NEFFEX,"[-0.12186958 -0.04668994 -0.00670934 ...  0.01968854  0.03399221
  0.04342957]",213,212,212
Foyf - NEFFEX,"[-0.01255902 -0.01061859 -0.00882228 ... -0.3469062  -0.33547527
 -0.29027188]",214,214,214
Foyf - NEFFEX,"[-0.11288502 -0.16047408 -0.16882129 ... -0.02131256 -0.11722811
 -0.14262006]",215,214,214
Fractal of Light - Chris Haugen,"[4.8557642e-05 4.7517115e-05 3.4020220e-05 ... 9.0978749e-02 1.0413871e-01
 9.4940238e-02]",216,216,216
Fractal of Light - Chris Haugen,"[ 0.10313461  0.12843621  0.14119652 ... -0.14970985 -0.13886532
 -0.12063292]",217,216,216
Fractal of Light - Chris Haugen,"[-0.11201853 -0.12774864 -0.13098206 ... -0.04068931 -0.03866206
 -0.0344034 ]",218,216,216
Frailach 1 - E's Jammy Jams,"[ 1.4172432e-05  1.9678861e-05  2.5550329e-05 ... -2.0470493e-01
 -2.4831881e-01 -2.3663202e-01]",219,219,219
Frailach 1 - E's Jammy Jams,"[-0.11657234 -0.14578937 -0.14391664 ... -0.03241814 -0.01195186
 -0.00863682]",220,219,219
Frailach 1 - E's Jammy Jams,"[-0.02928212 -0.04254509 -0.05005535 ...  0.02473693  0.0263532
  0.04509409]",221,219,219
Frailach 1 - E's Jammy Jams,"[-0.0803826  -0.09921493 -0.08853498 ... -0.0879937  -0.08632305
 -0.07955163]",222,219,219
Frailach 2 - E's Jammy Jams,"[ 1.0434625e-07 -4.5583896e-08  1.3470391e-07 ... -2.9197469e-02
 -3.3777256e-02 -2.8763117e-02]",223,223,223
Frailach 2 - E's Jammy Jams,"[-0.03016284 -0.03659006 -0.03422464 ... -0.06581594 -0.11310557
 -0.12454046]",224,223,223
Frailach 2 - E's Jammy Jams,"[-0.15493712 -0.20005697 -0.21565962 ...  0.14745243  0.15981017
  0.13617562]",225,223,223
Free Me (Instrumental) - NEFFEX,"[-3.9297388e-10 -8.9962052e-11  5.4340993e-10 ...  5.3807342e-01
  5.0724596e-01  4.6951613e-01]",226,226,226
Free Me (Instrumental) - NEFFEX,[0.5187719 0.6660443 0.5884452 ... 0.        0.        0.       ],227,226,226
Free Me - NEFFEX,"[ 1.6221686e-04 -4.2151507e-05 -1.2308244e-04 ...  1.8411700e-01
  2.1378642e-01  1.9615458e-01]",228,228,228
Free Me - NEFFEX,[0.08433571 0.08583485 0.09715556 ... 0.00584757 0.02472691 0.01952106],229,228,228
Future Glider - Brian Bolger,"[-2.2548604e-05  1.7069671e-05 -5.8564099e-05 ... -3.8927864e-02
 -4.4110294e-02 -3.5688639e-02]",230,230,230
Future Glider - Brian Bolger,"[-0.02908123 -0.03686686 -0.03261117 ...  0.15941647  0.14832336
  0.11871869]",231,230,230
Get Through - NEFFEX,"[-0.01249389 -0.00913516 -0.00663577 ...  0.00392908 -0.00267972
 -0.00908663]",232,232,232
Get Through - NEFFEX,"[ 0.04157199  0.02646039 -0.05637535 ... -0.06636596 -0.12531678
 -0.09882135]",233,232,232
Get Through - NEFFEX,"[-0.09039811 -0.10885329 -0.12085741 ... -0.17272396 -0.17696314
 -0.1412179 ]",234,232,232
Go Down Swinging (Instrumental) - NEFFEX,"[-6.3117222e-05 -7.0904614e-05 -6.4519176e-05 ...  7.1400322e-02
  7.4304581e-02  6.7328952e-02]",235,235,235
Go Down Swinging (Instrumental) - NEFFEX,[0.06190453 0.06806624 0.07262308 ... 0.0480474  0.05065068 0.04186518],236,235,235
Go Down Swinging - NEFFEX,[0.00407357 0.00429642 0.00448502 ... 0.03005333 0.06012556 0.05190549],237,237,237
Go Down Swinging - NEFFEX,"[ 0.09357072  0.10969175  0.10135515 ... -0.23110467 -0.23654775
 -0.18765193]",238,237,237
Go! - NEFFEX,"[-0.00121974 -0.00159571 -0.00195042 ...  0.04728212  0.07646481
  0.06380033]",239,239,239
Go! - NEFFEX,"[ 0.00168966 -0.00563152 -0.00538655 ... -0.37660128 -0.4330161
 -0.35198912]",240,239,239
Good Day (Wake Up) - NEFFEX,[0.00948951 0.0097727  0.00994507 ... 0.10562358 0.02714025 0.01313567],241,241,241
Good Day (Wake Up) - NEFFEX,"[ 0.09210537  0.06176554  0.04452486 ...  0.04011629  0.00483952
 -0.01099084]",242,241,241
Good Days - Yung Logos,"[ 0.03376402  0.04731536  0.04918842 ... -0.06380062 -0.0594849
 -0.04344032]",243,243,243
Good Days - Yung Logos,"[-0.04456744 -0.05670062 -0.06233345 ...  0.00914401  0.00530832
  0.00081103]",244,243,243
Good Gig In the Clouds - Joel Cummins,"[-2.4136441e-05 -3.1187381e-05 -1.1750492e-05 ... -7.6430995e-04
  3.3922207e-03  7.1825502e-03]",245,245,245
Good Gig In the Clouds - Joel Cummins,"[-0.00762707 -0.00241015  0.00249607 ...  0.00952271  0.01223147
  0.01590277]",246,245,245
Gunpowder Tea - Mini Vandals,[0.00220187 0.00255084 0.00180414 ... 0.24051028 0.2893569  0.26085827],247,247,247
Hannon - Jeremy Black,"[ 0.00268671  0.00267297  0.00264921 ... -0.22071342 -0.24847533
 -0.2137101 ]",248,248,248
Hannon - Jeremy Black,"[-0.1302909  -0.15121502 -0.1561672  ... -0.04813265 -0.03236809
 -0.01443711]",249,248,248
Hannon - Jeremy Black,"[-0.01847708 -0.00555844  0.00719773 ...  0.1825012   0.17661086
  0.15366526]",250,248,248
Hava Nagila - E's Jammy Jams,"[-1.6238980e-08 -2.0235538e-08 -1.6940117e-08 ... -6.3888994e-03
  1.5126592e-02  3.3411451e-02]",251,251,251
Hava Nagila - E's Jammy Jams,[0.07705753 0.08695803 0.07060308 ... 0.19131647 0.20669295 0.18182331],252,251,251
Hava Nagila - E's Jammy Jams,[0.08073668 0.08790032 0.06187953 ... 0.03345771 0.05643861 0.06680916],253,251,251
Hava Nagila - E's Jammy Jams,[0.09019496 0.12178759 0.12690558 ... 0.20592576 0.22275937 0.22080657],254,251,251
Heal You - Freedom Trail Studio,"[ 1.86357045e-06 -7.75512888e-07  1.00683055e-05 ...  2.24688500e-01
  2.01002553e-01  1.67298913e-01]",255,255,255
Heal You - Freedom Trail Studio,"[ 0.3073371   0.3506176   0.3456424  ... -0.01157183 -0.01175496
 -0.01106688]",256,255,255
Hine Ma Tov - E's Jammy Jams,"[ 4.9718187e-07  4.7556387e-07  5.4037457e-07 ... -5.9964996e-02
 -8.5403107e-02 -9.3270473e-02]",257,257,257
Hine Ma Tov - E's Jammy Jams,"[-0.06932522 -0.08589071 -0.09075285 ... -0.07430498 -0.08466595
 -0.07884043]",258,257,257
Hine Ma Tov - E's Jammy Jams,"[-0.04250479 -0.04805322 -0.0413675  ... -0.09520963 -0.10132529
 -0.09258897]",259,257,257
Hine Ma Tov - E's Jammy Jams,"[-0.05570666 -0.0559432  -0.04914431 ... -0.04726252 -0.04964314
 -0.044036  ]",260,257,257
Hine Ma Tov - E's Jammy Jams,"[-0.03409801 -0.03616963 -0.03190625 ... -0.4044521  -0.40330806
 -0.36041772]",261,257,257
Housin - Yung Logos,"[-0.00361973 -0.0018647  -0.00632536 ... -0.05165274 -0.06529303
 -0.05214657]",262,262,262
Housin - Yung Logos,"[-0.00505515 -0.00613341 -0.00748604 ... -0.05536078 -0.04558147
 -0.03492793]",263,262,262
How's It Supposed to Feel (Clean) - NEFFEX,"[-3.4220317e-05 -4.0484261e-04 -5.2621483e-04 ... -2.7421573e-01
 -2.5684413e-01 -2.1474595e-01]",264,264,264
How's It Supposed to Feel (Clean) - NEFFEX,"[-0.13328119 -0.16148518 -0.17238939 ...  0.07308775  0.10009601
  0.10092798]",265,264,264
How's It Supposed to Feel (Clean) - NEFFEX,[0.129255   0.14163232 0.09444461 ... 0.03237763 0.02972184 0.0268469 ],266,264,264
How's It Supposed to Feel (Instrumental) - NEFFEX,"[ 5.6198332e-05 -4.2517280e-04 -6.0097873e-04 ... -2.5349075e-01
 -2.2390613e-01 -1.8903300e-01]",267,267,267
How's It Supposed to Feel (Instrumental) - NEFFEX,"[-0.1263055  -0.14508508 -0.15328832 ...  0.15576993  0.19541565
  0.16832149]",268,267,267
How's It Supposed to Feel (Instrumental) - NEFFEX,[0.19839358 0.198758   0.16958529 ... 0.06008152 0.05777391 0.05529386],269,267,267
How's It Supposed to Feel - NEFFEX,[0.02933566 0.02025654 0.0114331  ... 0.03734904 0.03518774 0.03783439],270,270,270
How's It Supposed to Feel - NEFFEX,"[ 0.02486621  0.03515307  0.04292701 ... -0.08077613 -0.05374773
 -0.03908238]",271,270,270
How's It Supposed to Feel - NEFFEX,[0.07732512 0.07081059 0.04506627 ... 0.04703341 0.04293636 0.03865846],272,270,270
Hustlin' (Instrumental) - NEFFEX,"[ 6.4496285e-06  1.9891610e-05  3.4783523e-05 ... -5.0544059e-01
 -5.8188933e-01 -5.0390810e-01]",273,273,273
Hustlin' (Instrumental) - NEFFEX,"[-0.4312864  -0.4766504  -0.40463728 ... -0.05364241 -0.07419425
 -0.08649655]",274,273,273
Hustlin' - NEFFEX,"[-7.0968870e-04 -5.0126074e-04 -5.0152303e-04 ... -7.1785235e-01
 -7.8665715e-01 -6.2413472e-01]",275,275,275
Hustlin' - NEFFEX,"[-0.4353951  -0.44559923 -0.38358998 ...  0.08936112  0.08243508
  0.09583939]",276,275,275
I Just Wanna Be Great (Instrumental) - NEFFEX,"[-0.00051208 -0.00043627 -0.00053966 ... -0.19274212 -0.16931427
 -0.12855677]",277,277,277
I Just Wanna Be Great (Instrumental) - NEFFEX,"[-0.13014224 -0.1779687  -0.21075816 ...  0.01625903 -0.00356068
 -0.00815326]",278,277,277
I Just Wanna Be Great (Instrumental) - NEFFEX,"[-0.00200225  0.00889331  0.02829437 ...  0.00524875  0.00528747
  0.00412328]",279,277,277
I Just Wanna Be Great - NEFFEX,[0.16158196 0.16469814 0.16961615 ... 0.12333592 0.10955124 0.08783302],280,280,280
I Just Wanna Be Great - NEFFEX,"[ 0.06158958  0.0667242   0.04707684 ... -0.0925311  -0.09618562
 -0.10048901]",281,280,280
I Just Wanna Be Great - NEFFEX,[0.07032094 0.06599495 0.07253803 ... 0.00250993 0.00208866 0.00108687],282,280,280
Icelandic Arpeggios - DivKid,"[-0.0020782  -0.00204005 -0.00206573 ... -0.03227051 -0.03065113
 -0.02924079]",283,283,283
Icelandic Arpeggios - DivKid,"[ 0.01307392  0.0026681  -0.00849193 ... -0.00372397 -0.00494054
 -0.00748554]",284,283,283
Immortal - NEFFEX,"[-0.00992861 -0.00922772 -0.00863889 ...  0.05523479  0.07749198
  0.06479724]",285,285,285
Immortal - NEFFEX,[0.04912608 0.04920126 0.06929487 ... 0.07720956 0.10438937 0.08560302],286,285,285
Immortal - NEFFEX,"[-0.0268503  -0.03352259 -0.03848392 ...  0.11397294  0.14252707
  0.13570715]",287,285,285
In Five Straight Rows - Mini Vandals,"[-3.5487144e-06 -1.7474160e-06 -3.4843672e-06 ...  2.7235162e-01
  2.4453928e-01  1.8775231e-01]",288,288,288
In Five Straight Rows - Mini Vandals,"[ 0.1621758   0.18268879  0.17777658 ... -0.28098658 -0.26979592
 -0.21786694]",289,288,288
In Five Straight Rows - Mini Vandals,"[-0.40047464 -0.44538614 -0.4562233  ...  0.02387469  0.04588514
  0.04964565]",290,288,288
In Memory of Jean Talon - Mini Vandals,"[-3.9115790e-07 -2.4892398e-07 -4.6429867e-07 ... -7.4721859e-03
 -1.5020443e-02 -2.1185268e-02]",291,291,291
In Memory of Jean Talon - The Mini Vandals,"[-3.9115790e-07 -2.4892398e-07 -4.6429867e-07 ... -7.4721859e-03
 -1.5020443e-02 -2.1185268e-02]",292,292,292
India Fuse - French Fuse,"[ 0.          0.          0.         ... -0.07553977 -0.10486863
 -0.10435431]",293,293,293
Inspired (Clean) - NEFFEX,"[-7.8352957e-10  2.3247186e-09 -6.9063115e-09 ...  8.5059851e-02
  7.7371716e-02  6.6235527e-02]",294,294,294
Inspired (Instrumental) - NEFFEX,"[ 2.2278879e-08 -1.6055886e-08 -1.9180528e-09 ...  1.5118707e-02
  1.6551338e-02  1.6494730e-02]",295,295,295
Inspired - NEFFEX,"[ 0.00096282  0.00105464  0.00112358 ... -0.05010454 -0.07663024
 -0.07629307]",296,296,296
Intellect - Yung Logos,"[ 0.01720706  0.01768148  0.01815864 ... -0.07229427 -0.07623363
 -0.08080302]",297,297,297
Islabonita - An Jone,"[-1.5051101e-05  8.4056992e-06 -1.4331716e-05 ... -7.1479395e-02
 -8.1126153e-02 -7.3787488e-02]",298,298,298
Islabonita - An Jone,"[-0.05142362 -0.06314145 -0.06454848 ...  0.0267414   0.03520294
  0.01122795]",299,298,298
Island Dream - Chris Haugen,[0.         0.         0.         ... 0.09308114 0.08647087 0.07661632],300,300,300
Island Dream - Chris Haugen,[0.10604303 0.11592319 0.11187793 ... 0.1254932  0.11884762 0.10640914],301,300,300
It's Only Worth It If You Work For It (Clean) - NEFFEX,"[-3.3854918e-05 -3.4955065e-05 -3.1237272e-05 ... -9.9415168e-02
 -9.6479088e-02 -8.2709990e-02]",302,302,302
It's Only Worth It If You Work For It (Clean) - NEFFEX,"[-0.06711813 -0.08021332 -0.0772453  ... -0.28554258 -0.26627758
 -0.24492954]",303,302,302
It's Only Worth It If You Work For It (Clean) - NEFFEX,"[-0.28384617 -0.34919053 -0.3116952  ... -0.0514764  -0.04697964
 -0.03461187]",304,302,302
It's Only Worth It if You Work for It (Instrumental) - NEFFEX,"[-1.9404531e-05 -1.8911562e-05 -1.3704673e-05 ...  2.6587188e-01
  2.6770356e-01  2.3623256e-01]",305,305,305
It's Only Worth It if You Work for It (Instrumental) - NEFFEX,[0.24443111 0.30935323 0.28572962 ... 0.4240122  0.4080247  0.39012045],306,305,305
It's Only Worth It if You Work for It (Instrumental) - NEFFEX,[0.3392307  0.36140385 0.38095957 ... 0.0737202  0.07376035 0.06322445],307,305,305
IU (아이유) - The Red Shoes (분홍신),[0.         0.         0.         ... 0.15309174 0.23343465 0.26398703],308,308,308
IU (아이유) - The Red Shoes (분홍신),"[-0.05627768 -0.01236988  0.03132511 ...  0.41233024  0.4666735
  0.41334015]",309,308,308
IU (아이유) - The Red Shoes (분홍신),[0.30289936 0.39093372 0.34179208 ... 0.22590514 0.2326586  0.1813263 ],310,308,308
IU (아이유) - The Red Shoes (분홍신),[0.06819666 0.08546332 0.03243792 ... 0.01028181 0.05834785 0.08989223],311,308,308
Just Breathing - NEFFEX,"[-0.00011637 -0.00039639 -0.00053241 ...  0.03149264  0.03038751
  0.0204208 ]",312,312,312
Just Breathing - NEFFEX,"[ 0.07410339  0.086422    0.09176664 ... -0.02537296 -0.04481234
 -0.04923047]",313,312,312
Just Breathing - NEFFEX,"[-0.03986477 -0.0473741  -0.06445508 ... -0.05751587 -0.07648358
 -0.08606073]",314,312,312
Kind of a Party - Mini Vandals,"[-0.00049715 -0.00077607 -0.00045991 ... -0.04639195 -0.05725298
 -0.07200695]",315,315,315
Kind of a Party - Mini Vandals,"[ 0.04395594  0.03303164  0.00786234 ... -0.09753526 -0.09230267
 -0.075677  ]",316,315,315
Lobe - Mini Vandals,"[-2.0707348e-06 -1.0293491e-06 -1.8640538e-06 ...  2.8490644e-02
  2.8160578e-02  2.3576899e-02]",317,317,317
Lobe - The Mini Vandals,"[-2.0707348e-06 -1.0293491e-06 -1.8640538e-06 ...  2.8490644e-02
  2.8160578e-02  2.3576899e-02]",318,318,318
Looping Ascent - Joel Cummins,"[ 1.9001851e-05  8.8720890e-06 -7.2492485e-06 ... -2.1054888e-01
 -2.0022236e-01 -1.8749322e-01]",319,319,319
Looping Ascent - Joel Cummins,"[-0.10733359 -0.11722507 -0.12556374 ...  0.0273938   0.02885015
  0.02851438]",320,319,319
Los Bilibicos - E's Jammy Jams,"[ 1.7812612e-06 -6.2867575e-06 -9.9525676e-07 ...  3.5385959e-02
  3.0913696e-02  3.0798089e-02]",321,321,321
Los Bilibicos - E's Jammy Jams,"[-0.0081165  -0.01384998 -0.01642856 ... -0.01875489 -0.022006
 -0.01901844]",322,321,321
Los Bilibicos - E's Jammy Jams,"[-0.01765972 -0.01812421 -0.01685808 ...  0.09714018  0.10484488
  0.10025057]",323,321,321
